transaction_id;platform_id;platform_name;platform_country;certificate_id;certificate_name;certificate_type;certificate_language;course_id;course_name;course_category;course_info;online_date;student_id;student_name;student_email;student_country;student_age;issue_date;certificate_fee;payment_method
47;6;DataCraft;Portugal;1;AI Productivity Certificate;completion;English;;AI Tools for Productivity;Data Science & AI;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";23/05/2026;433;Ali Hoffmann;ali.hoffmann362@outlook.com;United States;40;02/04/2031;539,64;Bank Transfer
122;22;AgileWorks;United States;1;AI Productivity Certificate;completion;English;;AI Tools for Productivity;Data Science & AI;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";23/05/2026;238;Wei Gupta;wei.gupta325@yahoo.com;United States;39;13/04/2025;59,33;Credit Card
127;36;ApexEngineering;South Korea;1;AI Productivity Certificate;completion;English;1;AI Tools for Productivity;Data Science & AI;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";23/05/2026;967;Richard Ferrari;richard.ferrari358@yahoo.com;India;37;16/01/2023;120;Credit Card
141;8;Cognita Learning;France;1;AI Productivity Certificate;completion;English;27;Project Management Essentials;Business & Management;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills.";03/03/2027;551;Karen Rodrigues;karen.rodrigues923@gmail.com;India;20;24/05/2022;532,15;Credit Card
273;38;ForgeWorks;Canada;1;AI Productivity Certificate;completion;English;;Leadership in Digital Teams;Business & Management;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest.";20/01/2026;808;Karen Mehta;karen.mehta138@hotmail.com;India;22;24/11/2025;462,08;PayPal
281;8;Cognita Learning;France;1;AI Productivity Certificate;completion;English;32;SQL for Data Management;Data Science & AI;"Prepares students to query and manage relational databases; requires no prior SQL experience.";02/09/2021;94;Yuki Costa;yuki.costa68@protonmail.com;United States;22;14/11/2033;94,21;Credit Card
402;4;DeepLearn Institute;Canada;1;AI Productivity Certificate;completion;English;;Database Design Principles;Technology & IT;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge.";20/01/2023;133;Li Pillai;li.pillai966@hotmail.com;France;32;05/06/2025;116,88;Debit Card
519;95;MomentumForge;South Korea;1;AI Productivity Certificate;completion;English;;AI Tools for Productivity;Data Science & AI;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";23/05/2026;138;Inês Wagner;inês.wagner598@yahoo.com;India;24;15/02/2022;106,51;Credit Card
526;8;Cognita Learning;France;1;AI Productivity Certificate;completion;English;17;Financial Modeling Essentials;Finance & Accounting;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge.";24/09/2026;167;Linda Shah;linda.shah958@protonmail.com;United States;47;30/04/2024;306,35;Debit Card
568;30;ProDev Hub;Australia;1;AI Productivity Certificate;completion;English;;Risk Management Essentials;Business & Management;"Prepares students to identify; assess; and report business risks; requires basic business literacy.";02/12/2025;869;Miguel Alves;miguel.alves115@hotmail.com;Canada;40;01/12/2032;790;Credit Card
