transaction_id;issue_date;certificate_fee;payment_method;student_id;student_name;student_email;student_country;student_age;platform_id;platform_name;platform_country;certificate_id;certificate_name;certificate_type;certificate_language;course_id;course_name;course_category;course_info;online_date
9453;2032-08-08;103.27;Credit Card;669;Yuki Martins;yuki.martins18@yahoo.com;Germany;36;386;LearnSphere;United Kingdom;804;Cloud Fundamentals Certificate;completion;English;124;Project Management Essentials;Business & Management;Prepares students to coordinate projects and teams, requires basic organizational and communication skills.;2026-02-15
3024;2025-01-15;1169.77;Credit Card;954;Neha Dubois;neha.dubois862@hotmail.com;Germany;45;278;RiseNet;Portugal;680;Operations Excellence Certificate;advanced;Portuguese;201;Excel for Professionals;Finance & Accounting;Prepares students to automate reporting and work with advanced formulas, requires basic Excel skills.;2026-02-16
413;2022-07-15;85.22;PayPal;902;Michael Mehta;michael.mehta706@icloud.com;Brazil;49;396;GlobalCenter;Germany;472;Excel Professional Certificate;completion;Spanish;139;Data Visualization with Power BI;Data Science & AI;Prepares students to build business dashboards in Power BI, requires basic data handling skills.;2026-02-17
10618;2035-09-04;847.94;Credit Card;814;Mary Dubois;mary.dubois210@protonmail.com;India;55;280;ZenWorld;France;597;Supply Chain Analytics Certificate;advanced;English;202;Data Governance Fundamentals;Data Science & AI;Prepares students to define standards for data quality and ownership, requires spreadsheet familiarity.;2026-02-18
8625;2031-04-27;450.0;Credit Card;570;Layla Colombo;layla.colombo657@outlook.com;Mexico;37;301;CoreCampus;Netherlands;395;Statistics for Business Certificate;specialization;English;203;SQL for Data Management;Data Science & AI;Prepares students to query and manage relational databases, requires no prior SQL experience.;2026-02-19
169;2022-02-06;78.33;Credit Card;711;Raj Silva;raj.silva347@icloud.com;France;62;342;ZenPro;Germany;532;Excel Professional Certificate;completion;Spanish;204;Agile and Scrum Fundamentals;Business & Management;Prepares students to work in agile delivery environments, requires no prior agile certification.;2026-02-20
7937;2030-04-23;238.0;Credit Card;254;Zara Kumar;zara.kumar403@icloud.com;Brazil;42;339;LearnLearning;United States;427;;specialization;Spanish;174;Leadership in Digital Teams;Business & Management;Prepares students to manage remote and digital teams effectively, requires workplace experience or interest.;2026-02-21
9424;2032-07-23;98.34;PayPal;158;Jessica Fischer;jessica.fischer694@gmail.com;Spain;47;249;ProCampus;France;836;Web Development Foundations Certificate;completion;Italian;205;Web Development Basics;Technology & IT;Prepares students to understand front-end and back-end web concepts, requires basic computer literacy.;2026-02-22
6783;2028-08-09;930.77;Credit Card;443;Michael Singh;michael.singh934@protonmail.com;Brazil;23;479;FutureHive;United States;930;Industrial IoT Certificate;advanced;Portuguese;206;HR Analytics;Data Science & AI;Prepares students to analyze workforce and recruitment metrics, requires basic spreadsheet knowledge.;2026-02-23
10275;2034-05-09;81.94;PayPal;874;Jin Patel;jin.patel827@icloud.com;Germany;32;286;NexusBoost;United States;59;AI Productivity Certificate;completion;Spanish;207;Machine Learning Basics;Data Science & AI;Prepares students to understand supervised learning workflows, requires statistics and Python basics.;2026-02-24
